animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
11592,Oenanthe leucura,AVES,PASSERIFORMES,Muscicapidae,Collalba negra,LESRPE
11890,Oenanthe oenanthe,AVES,PASSERIFORMES,Muscicapidae,Collalba gris,LESRPE
11886,Phoenicurus ochruros,AVES,PASSERIFORMES,Muscicapidae,Colirrojo tizon,LESRPE
11977,Phoenicurus phoenicurus  ,AVES,PASSERIFORMES,Muscicapidae,Colirrojo real,Vulnerable
11125,Saxicola dacotiae,AVES,PASSERIFORMES,Muscicapidae,Tarabilla canaria,Vulnerable
12112,Saxicola rubetra,AVES,PASSERIFORMES,Muscicapidae,Tarabilla nortena,LESRPE
16387,Saxicola torquata,AVES,PASSERIFORMES,Muscicapidae,Tarabilla comun,LESRPE
10839,Panurus biarmicus,AVES,PASSERIFORMES,Panuridae,Bigotudo,LESRPE
10993,Aegithalos caudatus  ,AVES,PASSERIFORMES,Aegithalidae,Mito,LESRPE
16422,Periparus ater ,AVES,PASSERIFORMES,Paridae,Carbonero garrapinos,LESRPE
16423,Cyanistes caeruleus,AVES,PASSERIFORMES,Paridae,Herrerillo comun,LESRPE
16421,Lophophanes cristatus,AVES,PASSERIFORMES,Paridae,Herrerillo capuchino,LESRPE
11650,Parus major,AVES,PASSERIFORMES,Paridae,Carbonero comun,LESRPE
16420,Poecile palustris,AVES,PASSERIFORMES,Paridae,Carbonero palustre,LESRPE
11226,Sitta europaea,AVES,PASSERIFORMES,Sittidae,Trepador azul,LESRPE
11796,Tichodroma muraria  ,AVES,PASSERIFORMES,Tichodromadidae,Treparriscos,LESRPE
10733,Certhia brachydactyla,AVES,PASSERIFORMES,Certhiidae,Agateador comun,LESRPE
11250,Certhia familiaris,AVES,PASSERIFORMES,Certhiidae,Agateador norteno,LESRPE
11957,Remiz pendulinus  ,AVES,PASSERIFORMES,Remizidae,Pajaro moscon,LESRPE
11911,Oriolus oriolus,AVES,PASSERIFORMES,Oriolidae,Oropendola,LESRPE
